"filename", "language", "Markdown", "YAML", "Dart", "Gradle", "Java Properties", "Swift", "XML", "C++", "JSON", "JavaScript", "CMake", "Java", "HTML", "comment", "blank", "total"
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, -4, -10, -44
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/resource.h", "C++", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -6, -2, -17
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -54, 0, 0, 0, 0, 0, -2, -10, -66
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -6, -6, -20
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -210, 0, 0, 0, 0, 0, -24, -55, -289
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, -48, 0, 0, 0, 0, 0, -31, -24, -103
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/app/build.gradle", "Gradle", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 68
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/build.gradle", "Gradle", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/gradle.properties", "Java Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/android/settings.gradle", "Gradle", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
